name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,27195852,traffic_signals,,signal,,,,-122.8674637,45.5408991,,,
,1,1490066015,crossing,,,,,,-122.8672988,45.5409096,,,
,2,9326981416,,,,,,,-122.8676433,45.5414018,,,
,3,,,,,,,,-122.8676543,45.5413873,,,boundary node created by osm2gmns
,4,1216808089,,,,,,,-122.7927702,45.5225072,,,
,5,345929173,,,,,,,-122.7917846,45.5207427,,,
,6,492733717,,,,,,,-122.7913755,45.5197413,,,
,7,671928748,,,,,,,-122.8356139,45.530246,,,
,8,1499494075,,,,,,,-122.836752,45.5308261,,,
,9,,,,,,,,-122.798229,45.5158983,,,boundary node created by osm2gmns
,10,671928011,traffic_signals,,signal,,,,-122.799249,45.516288,,,
,11,9665261949,,,,,,,-122.7992814,45.5162999,,,
,12,1227173047,,,,,,,-122.8420817,45.5326849,,,
,13,1503612444,crossing,,,,,,-122.8420202,45.5327702,,,
,14,29096952,traffic_signals,,signal,,,,-122.8419544,45.5328639,,,
,15,1324449950,,,,,,,-122.841344,45.5338052,,,
,16,29897167,,,,,,,-122.8676401,45.5397051,,,
,17,,,,,,,,-122.8676543,45.5396966,,,boundary node created by osm2gmns
,18,38698911,,,,,,,-122.800185,45.5385646,,,
,19,38698913,,,,,,,-122.8002533,45.5389778,,,
,20,38698915,,,,,,,-122.8004885,45.5396154,,,
,21,38698916,,,,,,,-122.8009761,45.5402587,,,
,22,38698917,,,,,,,-122.8015426,45.5405767,,,
,23,1490057830,,,,,,,-122.8035439,45.5402571,,,
,24,27273312,motorway_junction,,,,,,-122.8475931,45.5341873,,,
,25,8358915152,crossing,,,,,,-122.842802,45.5319202,,,
,26,29096953,traffic_signals,,signal,,,,-122.8426291,45.5318606,,,
,27,38701568,,,,,,,-122.8295189,45.521453,,,
,28,1378045985,crossing,,,,,,-122.8295187,45.5215255,,,
,29,38701573,,,,,,,-122.8295177,45.5217995,,,
,30,1378046811,,,,,,,-122.8294758,45.522833,,,
,31,38704639,,,,,,,-122.7685925,45.5219731,,,
,32,38704643,turning_circle,,,,,,-122.7690488,45.5220563,,,
,33,38704727,,,,,,,-122.7718289,45.5187391,,,
,34,38704728,turning_circle,,,,,,-122.7718274,45.5183411,,,
,35,38704926,,,,,,,-122.8641899,45.5420512,,,
,36,38704928,,,,,,,-122.864156,45.5416591,,,
,37,454113727,traffic_signals,,signal,,,,-122.8244865,45.5365903,,,
,38,38708953,,,,,,,-122.8256955,45.5367985,,,
,39,38711211,,,,,,,-122.775421,45.5214151,,,
,40,38711213,turning_circle,,,,,,-122.7760159,45.521485,,,
,41,38713215,,,,,,,-122.775478,45.5209622,,,
,42,38713221,,,,,,,-122.7748401,45.5210225,,,
,43,38718673,,,,,,,-122.7649486,45.5320792,,,
,44,38718676,,,,,,,-122.7651168,45.5319314,,,
,45,38719742,,,,,,,-122.7707296,45.5187323,,,
,46,38719744,turning_circle,,,,,,-122.7707323,45.5183225,,,
,47,1227113697,,,,,,,-122.8346486,45.5592629,,,
,48,676428282,,,,,,,-122.8364615,45.5572517,,,
,49,676428278,,,,,,,-122.8367113,45.5565791,,,
,50,38722979,traffic_signals,,signal,,,,-122.8126107,45.5207539,,,
,51,249820494,,,,,,,-122.809364,45.5197514,,,
,52,38722258,,,,,,,-122.8439837,45.557294,,,
,53,38722259,,,,,,,-122.8441383,45.5571339,,,
,54,1157181411,,,,,,,-122.859646,45.5383404,,,
,55,1157181294,,,,,,,-122.8597285,45.5382325,,,
,56,38724189,,,,,,,-122.8601839,45.5376395,,,
,57,1157181437,,,,,,,-122.860311,45.5374702,,,
,58,1157181270,,,,,,,-122.8609402,45.5366269,,,
,59,38724193,,,,,,,-122.8611158,45.5363893,,,
,60,1157181483,,,,,,,-122.8614969,45.5358739,,,
,61,38724198,,,,,,,-122.8620986,45.5354469,,,
,62,38725295,,,,,,,-122.8559573,45.5424378,,,
,63,38725296,,,,,,,-122.8564016,45.5424365,,,
,64,38726651,,,,,,,-122.826615,45.5418219,,,
